SELFIES
[C] [C] [=C] [C] [=C] [C] [=Branch1] [C] [=O] [C] [=C] [Branch1] [=Branch2] [N] [C] [C] [O] [C] [C] [Ring1] [=Branch1] [O] [C] [Ring1] [=N] [=C] [Ring1] [P] [C] [=C] [C] [=C] [C] [=C] [Ring1] [=Branch1] [S] [C] [=C] [C] [=C] [C] [=C] [Ring1] [=Branch1] [Ring1] [=Branch2]
[C] [C] [C] [N] [C] [=Branch1] [C] [=O] [C] [=C] [C] [=C] [Branch2] [Ring1] [=C] [N] [C] [C] [C] [Branch1] [Branch1] [C] [C] [Ring1] [=Branch1] [C] [C] [Branch1] [N] [C] [=C] [C] [=C] [Branch1] [C] [Cl] [C] [=C] [Ring1] [#Branch1] [=N] [O] [Ring1] [=C] [C] [Branch1] [=Branch1] [N+1] [=Branch1] [C] [=O] [O-1] [=C] [Ring2] [Ring1] [#Branch2]
[O] [=C] [N] [C] [C] [C] [C] [=C] [C] [Branch1] [Ring1] [O] [C] [=C] [C] [=C] [Ring1] [Branch2] [NH1] [C] [Ring1] [#C] [=Ring1] [O]
[O] [=C] [Branch1] [#Branch2] [O] [C] [Branch1] [C] [C] [Branch1] [C] [C] [C] [N] [C] [C] [=C] [C] [=C] [C] [=C] [Ring1] [=Branch1] [C] [C] [Ring1] [#Branch2] [C] [=Branch1] [C] [=O] [N] [C] [C] [C] [Branch2] [Ring1] [Ring1] [C] [=Branch1] [C] [=O] [N] [C] [Branch1] [=Branch1] [C] [=Branch1] [C] [=O] [O] [C] [Branch1] [C] [O] [C] [Branch1] [=Branch2] [C] [=C] [C] [=C] [C] [=C] [Ring1] [=Branch1] [C] [C] [Ring2] [Ring1] [=Branch1]
[C] [C] [=C] [C] [=C] [Branch2] [Branch1] [O] [C] [=C] [Branch1] [Branch2] [C] [N] [=N] [NH1] [N] [=Ring1] [Branch1] [C] [=Branch1] [C] [=O] [N] [C] [Branch2] [Ring1] [=Branch2] [C] [=C] [C] [=C] [Branch1] [#C] [O] [C] [C] [C] [C] [C] [C] [Branch1] [C] [F] [Branch1] [C] [F] [F] [C] [=C] [Ring1] [S] [Branch1] [=Branch2] [C] [Branch1] [C] [F] [Branch1] [C] [F] [F] [C] [Ring2] [Ring1] [S] [C] [=C] [Ring2] [Ring2] [=Branch1]
[C] [S] [C] [=Branch1] [C] [=N] [N] [N] [=C] [C] [=C] [C] [=C] [C] [=C] [Ring1] [=Branch1] [C] [C] [C@@H1] [Ring1] [#Branch2] [C@@H1] [Ring1] [=N] [C] [=C] [C] [=C] [C] [=C] [Ring1] [=Branch1]
[C] [C@@H1] [Branch2] [Ring2] [N] [N] [C] [=Branch1] [C] [=O] [C] [=C] [N] [=C] [Branch2] [Ring1] [N] [O] [C] [=C] [C] [=C] [C] [=Branch1] [Ring2] [=C] [Ring1] [=Branch1] [C] [C] [C@@H1] [Branch1] [=Branch2] [C] [=C] [C] [=C] [C] [=C] [Ring1] [=Branch1] [O] [Ring1] [=N] [S] [Ring2] [Ring1] [=Branch1] [C] [=Branch1] [C] [=O] [O]
[C] [O] [C] [=C] [C] [Branch2] [Ring1] [=Branch2] [N] [C] [=Branch1] [C] [=O] [C] [=C] [C] [=C] [C] [Branch1] [#Branch2] [C] [C] [=C] [C] [=C] [C] [=C] [Ring1] [=Branch1] [=C] [Ring1] [=N] [=C] [C] [=C] [Ring2] [Ring1] [=Branch1] [O] [C] [C] [N] [Branch1] [=Branch1] [C] [Branch1] [C] [C] [C] [C] [Branch1] [C] [C] [C]
[C] [N] [Branch1] [C] [C] [S] [=Branch1] [C] [=O] [=Branch1] [C] [=O] [C] [=C] [C] [=C] [Branch1] [S] [C] [=Branch1] [C] [=O] [N] [C] [C] [=C] [N] [Branch1] [C] [C] [N] [=Ring1] [=Branch1] [C] [=C] [Ring1] [#C]
[C] [O] [C] [=C] [C] [=C] [Branch1] [=Branch1] [C] [Branch1] [C] [C] [=O] [C] [=C] [Ring1] [=Branch2] [N] [C] [=Branch1] [C] [=O] [C] [C] [Branch1] [Branch1] [C] [Ring1] [=Branch1] [=O] [C] [Branch1] [=Branch2] [C] [=C] [C] [=C] [C] [=C] [Ring1] [=Branch1] [C] [=Branch1] [C] [=O] [C] [Ring1] [=C] [Branch1] [=Branch2] [C] [=C] [C] [=C] [C] [=C] [Ring1] [=Branch1] [C] [Branch1] [N] [C] [=C] [C] [=C] [Branch1] [C] [C] [C] [=C] [Ring1] [#Branch1] [=C] [Ring2] [Ring1] [=Branch2] [C] [=C] [C] [=C] [Branch1] [C] [C] [C] [=C] [Ring1] [#Branch1]
